,Date,Symbol,LGBM_Prob_5.0%hit,Adj Close,Capitalization,Industry,Invest_Amount,Shares
20349,2020-12-11,AUROPHARMA,0.09858700282093873,897.3499755859375,LARGE,PHARMA,19717.400564187745,22.0
20348,2020-12-11,ADANIGREEN,0.09872764675845686,1041.5,LARGE,POWER,19745.52935169137,19.0
20347,2020-12-11,DRREDDY,0.09965142796833908,5016.9501953125,LARGE,PHARMA,19930.285593667817,4.0
20346,2020-12-11,FDC,0.09990526105821895,346.3500061035156,SMALLCAP,PHARMA,19981.05221164379,58.0
20345,2020-12-11,ABFRL,0.10015751455490637,159.25,MIDCAP,CONSUMER GOODS,20031.502910981275,126.0
20344,2020-12-11,REDINGTON,0.10038359688627319,129.60000610351562,SMALLCAP,SERVICES,20076.719377254638,155.0
20343,2020-12-11,JAICORPLTD,0.10039936579221383,94.0999984741211,SMALLCAP,INDUSTRIAL MANUFACTURING,20079.873158442766,213.0
20342,2020-12-11,NESTLEIND,0.10048163521804218,18401.099609375,LARGE,CONSUMER GOODS,20096.327043608435,1.0
20341,2020-12-11,MOIL,0.10066953505764452,141.8000030517578,SMALLCAP,METALS,20133.907011528903,142.0
20340,2020-12-11,GMDCLTD,0.1010370138849665,51.349998474121094,SMALLCAP,METALS,20207.402776993298,394.0
20335,2020-12-10,PTC,0.09991417975078865,59.79999923706055,SMALLCAP,POWER,19982.83595015773,334.0
20330,2020-12-10,MOIL,0.10068727600630915,141.3000030517578,SMALLCAP,METALS,20137.45520126183,143.0
20331,2020-12-10,JAICORPLTD,0.10043768386676546,94.6500015258789,SMALLCAP,INDUSTRIAL MANUFACTURING,20087.536773353095,212.0
20332,2020-12-10,ORIENTREF,0.10041208384543884,217.3000030517578,SMALLCAP,INDUSTRIAL MANUFACTURING,20082.41676908777,92.0
20334,2020-12-10,GALAXYSURF,0.10007571444937058,1917.800048828125,SMALLCAP,CHEMICALS,20015.142889874114,10.0
20333,2020-12-10,AUROPHARMA,0.10011964480873732,899.0,LARGE,PHARMA,20023.928961747464,22.0
20336,2020-12-10,LALPATHLAB,0.09975547740190875,2175.5,MIDCAP,HEALTHCARE SERVICES,19951.09548038175,9.0
20337,2020-12-10,BIOCON,0.09958574896963056,453.95001220703125,LARGE,PHARMA,19917.14979392611,44.0
20338,2020-12-10,BPCL,0.09953780698127869,399.2999877929688,LARGE,OIL & GAS,19907.561396255736,50.0
20339,2020-12-10,GILLETTE,0.09947438391977201,5789.39990234375,MIDCAP,CONSUMER GOODS,19894.8767839544,3.0
20324,2020-12-09,MOIL,0.0999952003639724,143.75,SMALLCAP,METALS,19999.04007279448,139.0
20320,2020-12-09,LALPATHLAB,0.10064163563147527,2183.550048828125,MIDCAP,HEALTHCARE SERVICES,20128.327126295055,9.0
20321,2020-12-09,FORTIS,0.10063230066592749,144.14999389648438,MIDCAP,HEALTHCARE SERVICES,20126.460133185497,140.0
20322,2020-12-09,JAICORPLTD,0.10051585527420279,97.0,SMALLCAP,INDUSTRIAL MANUFACTURING,20103.171054840557,207.0
20323,2020-12-09,DRREDDY,0.10038744984552038,5056.89990234375,LARGE,PHARMA,20077.489969104077,4.0
20325,2020-12-09,HINDCOPPER,0.09985557945605036,46.6500015258789,SMALLCAP,METALS,19971.115891210073,428.0
20326,2020-12-09,WELCORP,0.09976536315919585,126.0999984741211,SMALLCAP,METALS,19953.072631839168,158.0
