,Date,Symbol,Momentum,Adj Close,Capitalization,Industry,Invest_Amount,Shares
20349,2020-12-11,TATACOMM,0.09875173370319001,1036.449951171875,MIDCAP,TELECOM,19750.346740638004,19.0
20348,2020-12-11,NAVINFLUOR,0.09902912621359224,2536.89990234375,MIDCAP,CHEMICALS,19805.82524271845,8.0
20347,2020-12-11,DIXON,0.09930651872399446,12630.599609375,SMALLCAP,CONSUMER GOODS,19861.30374479889,2.0
20346,2020-12-11,GRANULES,0.09958391123439667,387.6000061035156,SMALLCAP,PHARMA,19916.782246879335,51.0
20345,2020-12-11,ALKYLAMINE,0.09986130374479889,3872.75,SMALLCAP,CHEMICALS,19972.260748959776,5.0
20344,2020-12-11,LAURUSLABS,0.10069348127600555,328.95001220703125,SMALLCAP,PHARMA,20138.69625520111,61.0
20343,2020-12-11,IOLCP,0.10069348127600555,768.0,SMALLCAP,PHARMA,20138.69625520111,26.0
20342,2020-12-11,ALOKINDS,0.10069348127600555,24.0,SMALLCAP,TEXTILES,20138.69625520111,839.0
20341,2020-12-11,AARTIDRUGS,0.10069348127600555,787.4500122070312,SMALLCAP,PHARMA,20138.69625520111,26.0
20340,2020-12-11,ADANIGREEN,0.10069348127600555,1041.5,LARGE,POWER,20138.69625520111,19.0
20335,2020-12-10,ALKYLAMINE,0.09986130374479889,3837.35009765625,SMALLCAP,CHEMICALS,19972.260748959776,5.0
20330,2020-12-10,ADANIGREEN,0.10069348127600555,1036.699951171875,LARGE,POWER,20138.69625520111,19.0
20331,2020-12-10,AARTIDRUGS,0.10069348127600555,766.7999877929688,SMALLCAP,PHARMA,20138.69625520111,26.0
20332,2020-12-10,ALOKINDS,0.10069348127600555,24.04999923706055,SMALLCAP,TEXTILES,20138.69625520111,837.0
20334,2020-12-10,LAURUSLABS,0.10069348127600555,330.3999938964844,SMALLCAP,PHARMA,20138.69625520111,61.0
20333,2020-12-10,IOLCP,0.10069348127600555,771.2999877929688,SMALLCAP,PHARMA,20138.69625520111,26.0
20336,2020-12-10,GRANULES,0.09958391123439667,390.45001220703125,SMALLCAP,PHARMA,19916.782246879335,51.0
20337,2020-12-10,DIXON,0.09930651872399446,12095.0,SMALLCAP,CONSUMER GOODS,19861.30374479889,2.0
